id,Moeda,Preço,1h,24h,7d,30d,Volume 24h,Capitalização de Mercado,FDV,Cap/FDV
128.0,Ethereum Name Service  ENS,"R$ 123,78",0.1%,0.8%,0.5%,20.5%,R$ 211.836.759,R$ 4.105.304.112,R$ 12.378.205.013,33.0
129.0,Bitcoin SV  BSV,"R$ 205,38",0.1%,0.4%,1.2%,11.6%,R$ 117.639.252,R$ 4.083.702.121,R$ 4.083.716.250,10.0
130.0,DeXe  DEXE,"R$ 71,19",0.4%,0.4%,0.7%,4.4%,R$ 64.991.565,R$ 4.065.350.066,R$ 6.870.386.105,59.0
131.0,BitTorrent  BTT,"R$ 0,054087",0.6%,0.5%,1.4%,7.1%,R$ 103.559.799,R$ 4.030.260.554,R$ 4.046.359.577,10.0
132.0,Pendle  PENDLE,"R$ 24,55",0.1%,1.1%,5.5%,25.2%,R$ 374.450.206,R$ 3.987.958.551,R$ 6.913.720.433,58.0
133.0,Solv Protocol Staked BTC  XSOLVBTC,R$ 618.282,0.2%,1.9%,4.9%,17.0%,R$ 462.238,R$ 3.980.333.612,R$ 3.980.333.612,10.0
134.0,Walrus  WAL,"R$ 3,00",0.9%,0.5%,16.9%,0.9%,R$ 78.838.588,R$ 3.944.374.748,R$ 14.992.872.018,26.0
135.0,THORChain  RUNE,"R$ 10,92",0.2%,3.2%,5.8%,38.8%,R$ 979.262.823,R$ 3.836.228.392,R$ 4.644.959.563,83.0
136.0,Stables Labs USDX  USDX,"R$ 5,67",0.0%,0.0%,0.2%,0.0%,R$ 6.901.495,R$ 3.792.276.204,R$ 3.792.276.204,10.0
137.0,Kaia  KAIA,"R$ 0,6464",0.4%,0.4%,1.5%,1.2%,R$ 43.265.529,R$ 3.787.228.490,R$ 3.787.228.612,10.0
138.0,Brett  BRETT,"R$ 0,3769",0.6%,5.6%,5.9%,2.5%,R$ 254.029.118,R$ 3.741.771.789,R$ 3.741.771.789,10.0
139.0,Grass  GRASS,"R$ 13,48",1.1%,15.4%,21.4%,36.6%,R$ 365.458.081,R$ 3.720.328.217,R$ 13.505.110.946,28.0
140.0,Jito  JTO,"R$ 11,06",0.2%,2.6%,4.4%,6.2%,R$ 106.456.526,R$ 3.679.091.809,R$ 11.067.183.096,33.0
141.0,Usual USD  USD0,"R$ 5,66",0.0%,0.0%,0.0%,0.0%,R$ 40.730.132,R$ 3.635.209.348,R$ 3.635.209.348,10.0
142.0,OUSG  OUSG,"R$ 630,56",0.0%,0.0%,0.1%,0.3%,"R$ 0,00",R$ 3.610.025.161,R$ 3.610.025.161,10.0
143.0,Tezos  XTZ,"R$ 3,45",0.1%,0.7%,1.2%,8.3%,R$ 88.450.904,R$ 3.608.341.278,R$ 3.677.832.758,98.0
144.0,Polyhedra Network  ZKJ,"R$ 11,59",0.1%,0.5%,0.8%,5.4%,R$ 259.274.463,R$ 3.573.044.309,R$ 11.586.164.174,31.0
145.0,Flow  FLOW,"R$ 2,23",0.3%,0.5%,2.6%,4.3%,R$ 113.169.561,R$ 3.531.564.387,R$ 3.531.564.387,10.0
146.0,Onyxcoin  XCN,"R$ 0,1043",0.6%,1.2%,6.4%,7.6%,R$ 162.025.989,R$ 3.503.231.734,R$ 5.046.536.351,69.0
147.0,Ondo US Dollar Yield  USDY,"R$ 6,25",0.0%,1.1%,0.4%,0.7%,R$ 11.084.920,R$ 3.347.540.660,R$ 3.636.494.946,92.0
148.0,Decentraland  MANA,"R$ 1,75",0.1%,1.5%,5.2%,5.2%,R$ 151.701.276,R$ 3.318.356.027,R$ 3.839.593.409,86.0
149.0,Binance-Peg Dogecoin  DOGE,"R$ 1,27",0.0%,2.4%,0.2%,23.6%,R$ 9.709.505,R$ 3.261.510.205,R$ 3.261.510.205,10.0
150.0,L2 Standard Bridged WETH (Base)  WETH,"R$ 14.417,29",0.1%,1.0%,1.2%,40.8%,R$ 1.773.453.923,R$ 3.249.940.190,R$ 3.249.940.190,10.0
152.0,Avalanche Bridged BTC (Avalanche)  BTC.B,R$ 619.147,0.1%,1.5%,3.6%,15.8%,R$ 81.266.862,R$ 3.148.922.314,R$ 3.148.922.314,10.0
151.0,Ket  KET,"R$ 3,15",0.8%,7.9%,22.0%,130.3%,R$ 154.188.679,R$ 3.148.579.811,R$ 3.148.579.811,10.0
153.0,Super OETH  SUPEROETH,"R$ 14.418,13",0.2%,1.0%,1.2%,40.9%,R$ 689.960,R$ 3.132.308.423,R$ 3.132.308.423,10.0
154.0,Dog (Bitcoin)  DOG,"R$ 0,03008",0.6%,2.6%,48.3%,91.0%,R$ 246.002.621,R$ 3.004.359.686,R$ 3.004.359.686,10.0
155.0,cgETH Hashkey Cloud  CGETH.HASHKEY,"R$ 14.937,97",0.1%,1.6%,1.4%,42.6%,"R$ 181,92",R$ 2.987.404.063,R$ 2.987.404.063,10.0
156.0,ApeCoin  APE,"R$ 3,72",0.1%,4.0%,0.2%,17.3%,R$ 194.607.293,R$ 2.975.797.476,R$ 3.722.280.360,8.0
157.0,Mantle Restaked ETH  CMETH,"R$ 15.381,33",0.1%,1.0%,1.1%,41.4%,R$ 26.451.034,R$ 2.964.286.406,R$ 2.964.286.406,10.0
158.0,Arbitrum Bridged WETH (Arbitrum One)  WETH,"R$ 14.419,28",0.1%,1.0%,1.1%,40.8%,R$ 770.303.837,R$ 2.897.289.134,R$ 2.897.289.134,10.0
159.0,AIOZ Network  AIOZ,"R$ 2,45",0.1%,2.8%,2.9%,5.4%,R$ 68.968.646,R$ 2.871.744.703,R$ 2.887.762.868,99.0
160.0,Saros  SAROS,"R$ 1,09",2.6%,18.5%,25.5%,49.7%,R$ 99.030.748,R$ 2.860.149.509,R$ 10.895.808.377,26.0
161.0,MultiversX  EGLD,"R$ 101,13",0.3%,2.9%,3.0%,2.4%,R$ 87.304.381,R$ 2.859.158.132,R$ 2.859.503.139,10.0
162.0,tBTC  TBTC,R$ 617.928,0.1%,1.6%,3.9%,15.7%,R$ 8.284.921,R$ 2.811.362.286,R$ 2.811.362.286,10.0
